Cell,Subclass,Ensembl,Gene,Coefficient
RGC,10_Novel,ENSMUSG00000074968,Ano3,0.5745566685141944
RGC,10_Novel,ENSMUSG00000055421,Pcdh9,0.5410028887818762
RGC,10_Novel,ENSMUSG00000022883,Robo1,0.4243519183009612
RGC,10_Novel,ENSMUSG00000039683,Sdk1,0.3786556745189762
RGC,10_Novel,ENSMUSG00000059187,Tafa1,0.3719160832160917
RGC,10_Novel,ENSMUSG00000017737,Mmp9,0.3479321671337761
RGC,10_Novel,ENSMUSG00000009734,Pou6f2,0.3295147737175816
RGC,10_Novel,ENSMUSG00000027849,Syt6,0.32667024586727295
RGC,10_Novel,ENSMUSG00000059857,Ntng1,0.32076920907579737
RGC,10_Novel,ENSMUSG00000020053,Igf1,0.31886513576519593
RGC,10_Novel,ENSMUSG00000029673,Auts2,0.31610460394832374
RGC,10_Novel,ENSMUSG00000026109,Tmeff2,0.29036194998099146
RGC,10_Novel,ENSMUSG00000021730,Hcn1,0.2894867758274712
RGC,10_Novel,ENSMUSG00000074505,Fat3,0.27845802139857795
RGC,10_Novel,ENSMUSG00000028519,Dab1,0.2679649682181827
RGC,10_Novel,ENSMUSG00000049775,Tmsb4x,0.2644370470174552
RGC,10_Novel,ENSMUSG00000063887,Nlgn1,0.24792245727764523
RGC,10_Novel,ENSMUSG00000019888,Mgat4c,0.24691113870684842
RGC,10_Novel,ENSMUSG00000022012,Enox1,0.2299601810279726
RGC,10_Novel,ENSMUSG00000033910,Gucy1a1,0.22717492921998558
RGC,10_Novel,ENSMUSG00000003657,Calb2,-0.6349069472355695
RGC,10_Novel,ENSMUSG00000096914,Galntl6,-0.4605999999876101
RGC,10_Novel,ENSMUSG00000039717,Ralyl,-0.3673748283066972
RGC,10_Novel,ENSMUSG00000029088,Kcnip4,-0.32119449239188325
RGC,10_Novel,ENSMUSG00000060882,Kcnd2,-0.3078246918987757
RGC,10_Novel,ENSMUSG00000050711,Scg2,-0.3075063138877224
RGC,10_Novel,ENSMUSG00000060371,Caln1,-0.3053018218421402
RGC,10_Novel,ENSMUSG00000025867,Cplx2,-0.2601042536977571
RGC,10_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,-0.25367428971082695
RGC,10_Novel,ENSMUSG00000043531,Sorcs1,-0.25251976036575946
RGC,10_Novel,ENSMUSG00000092341,Malat1,-0.24891373228369773
RGC,10_Novel,ENSMUSG00000092094,Zfp804b,-0.24043373898892817
RGC,10_Novel,ENSMUSG00000039419,Cntnap2,-0.23725588562049277
RGC,10_Novel,ENSMUSG00000050587,Lrrc4c,-0.22918964369554176
RGC,10_Novel,ENSMUSG00000029108,Pcdh7,-0.2274904169751965
RGC,10_Novel,ENSMUSG00000045095,Magi1,-0.21729650330200623
RGC,10_Novel,ENSMUSG00000039601,Rcan2,-0.21578126263777486
RGC,10_Novel,ENSMUSG00000022311,Csmd3,-0.21487958808975238
RGC,10_Novel,ENSMUSG00000036469,Marchf1,-0.2129380263275511
RGC,10_Novel,ENSMUSG00000037996,Slc24a2,-0.20905530528853222
RGC,11_Novel,ENSMUSG00000061762,Tac1,0.5835807993139642
RGC,11_Novel,ENSMUSG00000046159,Chrm3,0.5312646913636265
RGC,11_Novel,ENSMUSG00000010476,Ebf3,0.4649318819195529
RGC,11_Novel,ENSMUSG00000027674,Pex5l,0.45147116523751923
RGC,11_Novel,ENSMUSG00000003657,Calb2,0.42010028925654924
RGC,11_Novel,ENSMUSG00000039683,Sdk1,0.4067775319386072
RGC,11_Novel,ENSMUSG00000051029,Serpinb1b,0.3962003942070606
RGC,11_Novel,ENSMUSG00000053465,Hs6st3,0.3881772389317388
RGC,11_Novel,ENSMUSG00000005716,Pvalb,0.38354995998167773
RGC,11_Novel,ENSMUSG00000039488,Cntn5,0.36125868128798067
RGC,11_Novel,ENSMUSG00000039539,Sgcz,0.3409897323146788
RGC,11_Novel,ENSMUSG00000051910,Sox6,0.32595676807177487
RGC,11_Novel,ENSMUSG00000000305,Cdh4,0.30795541095541723
RGC,11_Novel,ENSMUSG00000025867,Cplx2,0.3069936955137056
RGC,11_Novel,ENSMUSG00000026312,Cdh7,0.3048935452644492
RGC,11_Novel,ENSMUSG00000055026,Gabrg3,0.28336256656216996
RGC,11_Novel,ENSMUSG00000004110,Cacna1e,0.27656059426524693
RGC,11_Novel,ENSMUSG00000037843,Vstm2l,0.2664435710846573
RGC,11_Novel,ENSMUSG00000059857,Ntng1,0.2534971678726402
RGC,11_Novel,ENSMUSG00000026058,Khdrbs2,0.2385243288419338
RGC,11_Novel,ENSMUSG00000057098,Ebf1,-0.5394209539313799
RGC,11_Novel,ENSMUSG00000008658,Rbfox1,-0.5229187126860628
RGC,11_Novel,ENSMUSG00000060882,Kcnd2,-0.47266096892002185
RGC,11_Novel,ENSMUSG00000050587,Lrrc4c,-0.449699685716096
RGC,11_Novel,ENSMUSG00000020704,Asic2,-0.4176903233243556
RGC,11_Novel,ENSMUSG00000017390,Aldoc,-0.39617266395020195
RGC,11_Novel,ENSMUSG00000029108,Pcdh7,-0.3758968472589434
RGC,11_Novel,ENSMUSG00000029088,Kcnip4,-0.34775693415125963
RGC,11_Novel,ENSMUSG00000092341,Malat1,-0.33187919001220617
RGC,11_Novel,ENSMUSG00000090223,Pcp4,-0.29695268201377645
RGC,11_Novel,ENSMUSG00000042453,Reln,-0.2887140252976644
RGC,11_Novel,ENSMUSG00000033307,Mif,-0.2696514824037635
RGC,11_Novel,ENSMUSG00000022311,Csmd3,-0.2586583245464445
RGC,11_Novel,ENSMUSG00000063887,Nlgn1,-0.25210469968957544
RGC,11_Novel,ENSMUSG00000023868,Pde10a,-0.2284861498857483
RGC,11_Novel,ENSMUSG00000037940,Inpp4b,-0.22838844555966806
RGC,11_Novel,ENSMUSG00000046275,Trarg1,-0.21968375955844793
RGC,11_Novel,ENSMUSG00000038872,Zfhx3,-0.21941670673840916
RGC,11_Novel,ENSMUSG00000003279,Dlgap1,-0.21815970968235635
RGC,11_Novel,ENSMUSG00000021219,Rgs6,-0.21644269032582317
RGC,12_ooDS_NT,ENSMUSG00000021647,Cartpt,1.2266169436698766
RGC,12_ooDS_NT,ENSMUSG00000055026,Gabrg3,0.8176362495760049
RGC,12_ooDS_NT,ENSMUSG00000033615,Cplx1,0.7277833138112785
RGC,12_ooDS_NT,ENSMUSG00000055471,Alk,0.6388938245594499
RGC,12_ooDS_NT,ENSMUSG00000059742,Kcnh7,0.6210095262829288
RGC,12_ooDS_NT,ENSMUSG00000028519,Dab1,0.554335302214144
RGC,12_ooDS_NT,ENSMUSG00000022762,Ncam2,0.5299426361434904
RGC,12_ooDS_NT,ENSMUSG00000004347,Pde1c,0.5185632947391235
RGC,12_ooDS_NT,ENSMUSG00000055421,Pcdh9,0.5044936128089902
RGC,12_ooDS_NT,ENSMUSG00000064293,Cntn4,0.50147419047251
RGC,12_ooDS_NT,ENSMUSG00000034098,Fstl5,0.43620361163851973
RGC,12_ooDS_NT,ENSMUSG00000046159,Chrm3,0.4283438816906199
RGC,12_ooDS_NT,ENSMUSG00000053477,Tcf4,0.42165405072211887
RGC,12_ooDS_NT,ENSMUSG00000021219,Rgs6,0.4180294318865339
RGC,12_ooDS_NT,ENSMUSG00000055409,Nell1,0.3891077540112641
RGC,12_ooDS_NT,ENSMUSG00000026833,Olfm1,0.36454804797804385
RGC,12_ooDS_NT,ENSMUSG00000090223,Pcp4,0.3556003344449471
RGC,12_ooDS_NT,ENSMUSG00000040037,Negr1,0.34884785772625054
RGC,12_ooDS_NT,ENSMUSG00000068735,Trp53i11,0.33635108242972284
RGC,12_ooDS_NT,ENSMUSG00000051177,Plcb1,0.33443974185970066
RGC,12_ooDS_NT,ENSMUSG00000029088,Kcnip4,-1.3077050863386572
RGC,12_ooDS_NT,ENSMUSG00000096914,Galntl6,-0.8572525206582675
RGC,12_ooDS_NT,ENSMUSG00000019888,Mgat4c,-0.7214755448582639
RGC,12_ooDS_NT,ENSMUSG00000043531,Sorcs1,-0.7087475136869911
RGC,12_ooDS_NT,ENSMUSG00000057098,Ebf1,-0.6835828668918191
RGC,12_ooDS_NT,ENSMUSG00000060882,Kcnd2,-0.6061622101983539
RGC,12_ooDS_NT,ENSMUSG00000045083,Lingo2,-0.6048460224025634
RGC,12_ooDS_NT,ENSMUSG00000038872,Zfhx3,-0.5331927381060836
RGC,12_ooDS_NT,ENSMUSG00000039488,Cntn5,-0.44254580500492513
RGC,12_ooDS_NT,ENSMUSG00000060371,Caln1,-0.43329451447130707
RGC,12_ooDS_NT,ENSMUSG00000009734,Pou6f2,-0.42373953999853925
RGC,12_ooDS_NT,ENSMUSG00000022311,Csmd3,-0.3998413196120866
RGC,12_ooDS_NT,ENSMUSG00000060924,Csmd1,-0.38005228625039045
RGC,12_ooDS_NT,ENSMUSG00000039419,Cntnap2,-0.37693265170357726
RGC,12_ooDS_NT,ENSMUSG00000034755,Pcdh11x,-0.3546840586681729
RGC,12_ooDS_NT,ENSMUSG00000055540,Epha6,-0.3305811704951911
RGC,12_ooDS_NT,ENSMUSG00000064115,Cadm2,-0.33031700746206005
RGC,12_ooDS_NT,ENSMUSG00000044071,Tafa2,-0.3223270176725019
RGC,12_ooDS_NT,ENSMUSG00000038530,Rgs4,-0.31932408334880025
RGC,12_ooDS_NT,ENSMUSG00000050272,Dscam,-0.31135900288710905
RGC,13_Novel,ENSMUSG00000039488,Cntn5,0.8996808891320925
RGC,13_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.8636973903727937
RGC,13_Novel,ENSMUSG00000055026,Gabrg3,0.7726230807935142
RGC,13_Novel,ENSMUSG00000025867,Cplx2,0.5269846108452759
RGC,13_Novel,ENSMUSG00000038602,Slc35f1,0.4788328520671615
RGC,13_Novel,ENSMUSG00000036815,Dpp10,0.4613603051993381
RGC,13_Novel,ENSMUSG00000021647,Cartpt,0.41504916151132426
RGC,13_Novel,ENSMUSG00000049336,Tenm2,0.39171733532027864
RGC,13_Novel,ENSMUSG00000051910,Sox6,0.37127481996653017
RGC,13_Novel,ENSMUSG00000003657,Calb2,0.335792232419282
RGC,13_Novel,ENSMUSG00000034098,Fstl5,0.33186864706239144
RGC,13_Novel,ENSMUSG00000024497,Pou4f3,0.33091418063341643
RGC,13_Novel,ENSMUSG00000051111,Sv2c,0.32510762133395044
RGC,13_Novel,ENSMUSG00000022658,Tagln3,0.3134983659484959
RGC,13_Novel,ENSMUSG00000039683,Sdk1,0.312433458338115
RGC,13_Novel,ENSMUSG00000026344,Lypd1,0.3115371570996237
RGC,13_Novel,ENSMUSG00000116610,Gm49678,0.3108252904130545
RGC,13_Novel,ENSMUSG00000047414,Flrt2,0.31040526943278446
RGC,13_Novel,ENSMUSG00000029108,Pcdh7,0.3075622080621601
RGC,13_Novel,ENSMUSG00000040037,Negr1,0.3000550800089917
RGC,13_Novel,ENSMUSG00000090223,Pcp4,-0.8797867473816414
RGC,13_Novel,ENSMUSG00000020704,Asic2,-0.770921554014999
RGC,13_Novel,ENSMUSG00000043531,Sorcs1,-0.5297133186735634
RGC,13_Novel,ENSMUSG00000008658,Rbfox1,-0.46915783169016717
RGC,13_Novel,ENSMUSG00000028399,Ptprd,-0.43327060752070057
RGC,13_Novel,ENSMUSG00000079157,Nalf1,-0.4299238880278929
RGC,13_Novel,ENSMUSG00000038872,Zfhx3,-0.3994109982291091
RGC,13_Novel,ENSMUSG00000112117,Rmst,-0.39659462884476143
RGC,13_Novel,ENSMUSG00000066392,Nrxn3,-0.3829047516867486
RGC,13_Novel,ENSMUSG00000047907,Tshz2,-0.3441272007418868
RGC,13_Novel,ENSMUSG00000092341,Malat1,-0.31722272671997787
RGC,13_Novel,ENSMUSG00000032452,Clstn2,-0.3148865470439289
RGC,13_Novel,ENSMUSG00000059857,Ntng1,-0.31111960650517645
RGC,13_Novel,ENSMUSG00000044071,Tafa2,-0.296803854083393
RGC,13_Novel,ENSMUSG00000061080,Lsamp,-0.28216152707268316
RGC,13_Novel,ENSMUSG00000050587,Lrrc4c,-0.27008731285300586
RGC,13_Novel,ENSMUSG00000021536,Adcy2,-0.26155320492242307
RGC,13_Novel,ENSMUSG00000049100,Pcdh10,-0.25720317920509184
RGC,13_Novel,ENSMUSG00000037492,Zmat4,-0.24848821146915484
RGC,13_Novel,ENSMUSG00000044252,Osbpl1a,-0.23725474072426347
RGC,14_ooDS_Cck,ENSMUSG00000021647,Cartpt,1.0341466487728768
RGC,14_ooDS_Cck,ENSMUSG00000032036,Kirrel3,0.6790591618933937
RGC,14_ooDS_Cck,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.5730074732910655
RGC,14_ooDS_Cck,ENSMUSG00000019888,Mgat4c,0.5707634375281441
RGC,14_ooDS_Cck,ENSMUSG00000032532,Cck,0.4971644038515182
RGC,14_ooDS_Cck,ENSMUSG00000066392,Nrxn3,0.4438699358702279
RGC,14_ooDS_Cck,ENSMUSG00000028883,Sema3a,0.4299169338955416
RGC,14_ooDS_Cck,ENSMUSG00000040420,Cdh18,0.4183540860083305
RGC,14_ooDS_Cck,ENSMUSG00000043531,Sorcs1,0.3687403657684777
RGC,14_ooDS_Cck,ENSMUSG00000033910,Gucy1a1,0.35560574284720164
RGC,14_ooDS_Cck,ENSMUSG00000055026,Gabrg3,0.3538096974020928
RGC,14_ooDS_Cck,ENSMUSG00000020704,Asic2,0.3486403446968108
RGC,14_ooDS_Cck,ENSMUSG00000022762,Ncam2,0.33636304746169565
RGC,14_ooDS_Cck,ENSMUSG00000024211,Grm8,0.3143914208701857
RGC,14_ooDS_Cck,ENSMUSG00000009734,Pou6f2,0.29959508313738653
RGC,14_ooDS_Cck,ENSMUSG00000031772,Cntnap4,0.2975268028559966
RGC,14_ooDS_Cck,ENSMUSG00000079157,Nalf1,0.2891434862162023
RGC,14_ooDS_Cck,ENSMUSG00000024074,Crim1,0.28724992413226197
RGC,14_ooDS_Cck,ENSMUSG00000040452,Cdh12,0.28648164478080956
RGC,14_ooDS_Cck,ENSMUSG00000028373,Astn2,0.28098080952476473
RGC,14_ooDS_Cck,ENSMUSG00000029088,Kcnip4,-0.7105002619162125
RGC,14_ooDS_Cck,ENSMUSG00000050587,Lrrc4c,-0.463893649804334
RGC,14_ooDS_Cck,ENSMUSG00000050711,Scg2,-0.4620693008420507
RGC,14_ooDS_Cck,ENSMUSG00000058571,Gpc6,-0.3874507355856127
RGC,14_ooDS_Cck,ENSMUSG00000029108,Pcdh7,-0.37466715787998056
RGC,14_ooDS_Cck,ENSMUSG00000060882,Kcnd2,-0.36541867097652414
RGC,14_ooDS_Cck,ENSMUSG00000096914,Galntl6,-0.3619235141705309
RGC,14_ooDS_Cck,ENSMUSG00000022108,Itm2b,-0.3360696090638487
RGC,14_ooDS_Cck,ENSMUSG00000008658,Rbfox1,-0.33071512320015867
RGC,14_ooDS_Cck,ENSMUSG00000028399,Ptprd,-0.3264778874380924
RGC,14_ooDS_Cck,ENSMUSG00000001175,Calm1,-0.3050463625883512
RGC,14_ooDS_Cck,ENSMUSG00000092341,Malat1,-0.29112363371797345
RGC,14_ooDS_Cck,ENSMUSG00000047907,Tshz2,-0.2475345283949368
RGC,14_ooDS_Cck,ENSMUSG00000059742,Kcnh7,-0.24104181480668055
RGC,14_ooDS_Cck,ENSMUSG00000056258,Kcnq3,-0.23803565562291082
RGC,14_ooDS_Cck,ENSMUSG00000049100,Pcdh10,-0.23708011077312394
RGC,14_ooDS_Cck,ENSMUSG00000022636,Alcam,-0.22941397163237223
RGC,14_ooDS_Cck,ENSMUSG00000052534,Pbx1,-0.22188890320000196
RGC,14_ooDS_Cck,ENSMUSG00000027777,Schip1,-0.21842925930708962
RGC,14_ooDS_Cck,ENSMUSG00000034912,Mdga2,-0.21617343181056223
RGC,15_Novel,ENSMUSG00000027210,Meis2,0.6625569735308265
RGC,15_Novel,ENSMUSG00000032036,Kirrel3,0.6137962530565105
RGC,15_Novel,ENSMUSG00000021680,Crhbp,0.595238985491551
RGC,15_Novel,ENSMUSG00000034755,Pcdh11x,0.5206038080487434
RGC,15_Novel,ENSMUSG00000053310,Nrgn,0.5118297190172745
RGC,15_Novel,ENSMUSG00000070695,Cntnap5a,0.4537076473034899
RGC,15_Novel,ENSMUSG00000035299,Mid1,0.4169018680697144
RGC,15_Novel,ENSMUSG00000026158,Ogfrl1,0.39291371955539833
RGC,15_Novel,ENSMUSG00000050447,Lypd6,0.35353432698417575
RGC,15_Novel,ENSMUSG00000047907,Tshz2,0.3468171690279657
RGC,15_Novel,ENSMUSG00000021647,Cartpt,0.34180662231643066
RGC,15_Novel,ENSMUSG00000049775,Tmsb4x,0.34094986462274113
RGC,15_Novel,ENSMUSG00000096914,Galntl6,0.33512581228491783
RGC,15_Novel,ENSMUSG00000020704,Asic2,0.3273196372909142
RGC,15_Novel,ENSMUSG00000027777,Schip1,0.32706372266396644
RGC,15_Novel,ENSMUSG00000029088,Kcnip4,0.3202395452496328
RGC,15_Novel,ENSMUSG00000079042,Apela,0.31921496570322494
RGC,15_Novel,ENSMUSG00000071379,Hpcal1,0.3152290545313406
RGC,15_Novel,ENSMUSG00000057098,Ebf1,0.2975955888458123
RGC,15_Novel,ENSMUSG00000045573,Penk,0.2939683220343903
RGC,15_Novel,ENSMUSG00000090223,Pcp4,-0.6954137033480532
RGC,15_Novel,ENSMUSG00000019888,Mgat4c,-0.6205323267553945
RGC,15_Novel,ENSMUSG00000022311,Csmd3,-0.512939635058239
RGC,15_Novel,ENSMUSG00000064293,Cntn4,-0.5018232668771374
RGC,15_Novel,ENSMUSG00000055421,Pcdh9,-0.501085296679812
RGC,15_Novel,ENSMUSG00000045083,Lingo2,-0.40997755683428855
RGC,15_Novel,ENSMUSG00000060882,Kcnd2,-0.4048288927897041
RGC,15_Novel,ENSMUSG00000064115,Cadm2,-0.40392604883677363
RGC,15_Novel,ENSMUSG00000066392,Nrxn3,-0.3944761772009534
RGC,15_Novel,ENSMUSG00000039488,Cntn5,-0.3846511782769648
RGC,15_Novel,ENSMUSG00000025889,Snca,-0.3743723759978794
RGC,15_Novel,ENSMUSG00000063887,Nlgn1,-0.33957513282360235
RGC,15_Novel,ENSMUSG00000026527,Rgs7,-0.32919450326814487
RGC,15_Novel,ENSMUSG00000039539,Sgcz,-0.31421989968710956
RGC,15_Novel,ENSMUSG00000108532,Gm32647,-0.3116040712418328
RGC,15_Novel,ENSMUSG00000050272,Dscam,-0.3057449420843835
RGC,15_Novel,ENSMUSG00000055540,Epha6,-0.2988506811175466
RGC,15_Novel,ENSMUSG00000055409,Nell1,-0.29601976831581917
RGC,15_Novel,ENSMUSG00000022454,Nell2,-0.2855968710178754
RGC,15_Novel,ENSMUSG00000092341,Malat1,-0.27726472976599553
RGC,16_ooDS_DV,ENSMUSG00000021647,Cartpt,1.201761000539383
RGC,16_ooDS_DV,ENSMUSG00000078591,Hs3st4,0.5183490527481162
RGC,16_ooDS_DV,ENSMUSG00000039385,Cdh6,0.49903338953467863
RGC,16_ooDS_DV,ENSMUSG00000090223,Pcp4,0.47479835598705844
RGC,16_ooDS_DV,ENSMUSG00000034755,Pcdh11x,0.4316119222281404
RGC,16_ooDS_DV,ENSMUSG00000050711,Scg2,0.4155311049496765
RGC,16_ooDS_DV,ENSMUSG00000058897,Col25a1,0.40833886656709245
RGC,16_ooDS_DV,ENSMUSG00000039488,Cntn5,0.33082661445602046
RGC,16_ooDS_DV,ENSMUSG00000059187,Tafa1,0.33019516247249026
RGC,16_ooDS_DV,ENSMUSG00000038530,Rgs4,0.3243971081354323
RGC,16_ooDS_DV,ENSMUSG00000023927,Satb1,0.3093484155326631
RGC,16_ooDS_DV,ENSMUSG00000039717,Ralyl,0.26792165720972994
RGC,16_ooDS_DV,ENSMUSG00000021680,Crhbp,0.25963078546954954
RGC,16_ooDS_DV,ENSMUSG00000025867,Cplx2,0.2552431416092111
RGC,16_ooDS_DV,ENSMUSG00000042596,Tfap2d,0.25036001486985365
RGC,16_ooDS_DV,ENSMUSG00000062257,Opcml,0.23942762371436813
RGC,16_ooDS_DV,ENSMUSG00000028487,Bnc2,0.2227655139932529
RGC,16_ooDS_DV,ENSMUSG00000108532,Gm32647,0.21183504924219906
RGC,16_ooDS_DV,ENSMUSG00000048978,Nrsn1,0.20565079268297864
RGC,16_ooDS_DV,ENSMUSG00000055471,Alk,0.2049786735478574
RGC,16_ooDS_DV,ENSMUSG00000096914,Galntl6,-0.4739196531036663
RGC,16_ooDS_DV,ENSMUSG00000028832,Stmn1,-0.4055505417647185
RGC,16_ooDS_DV,ENSMUSG00000060882,Kcnd2,-0.3900720843364102
RGC,16_ooDS_DV,ENSMUSG00000029088,Kcnip4,-0.37945256091362056
RGC,16_ooDS_DV,ENSMUSG00000019888,Mgat4c,-0.3582026195608512
RGC,16_ooDS_DV,ENSMUSG00000060371,Caln1,-0.3161625982241175
RGC,16_ooDS_DV,ENSMUSG00000092094,Zfp804b,-0.30334560393658005
RGC,16_ooDS_DV,ENSMUSG00000074968,Ano3,-0.2937803844995569
RGC,16_ooDS_DV,ENSMUSG00000037653,Kctd8,-0.2862076055311136
RGC,16_ooDS_DV,ENSMUSG00000043531,Sorcs1,-0.2671620764783929
RGC,16_ooDS_DV,ENSMUSG00000026163,Sphkap,-0.26646692897904756
RGC,16_ooDS_DV,ENSMUSG00000050587,Lrrc4c,-0.2543401312967806
RGC,16_ooDS_DV,ENSMUSG00000025889,Snca,-0.24958668369463885
RGC,16_ooDS_DV,ENSMUSG00000049252,Lrp1b,-0.24872626277438886
RGC,16_ooDS_DV,ENSMUSG00000092341,Malat1,-0.24205086426301106
RGC,16_ooDS_DV,ENSMUSG00000059974,Ntm,-0.24063197367385347
RGC,16_ooDS_DV,ENSMUSG00000036815,Dpp10,-0.21891891459671645
RGC,16_ooDS_DV,ENSMUSG00000039607,Rbms3,-0.21224445111023588
RGC,16_ooDS_DV,ENSMUSG00000022636,Alcam,-0.20414160513764315
RGC,16_ooDS_DV,ENSMUSG00000022311,Csmd3,-0.20309422947539815
RGC,17_Tbr1_S1,ENSMUSG00000027210,Meis2,0.8270812848366786
RGC,17_Tbr1_S1,ENSMUSG00000050587,Lrrc4c,0.8228770026080651
RGC,17_Tbr1_S1,ENSMUSG00000053310,Nrgn,0.7822908647730473
RGC,17_Tbr1_S1,ENSMUSG00000090223,Pcp4,0.7681006255319578
RGC,17_Tbr1_S1,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.6473291409114439
RGC,17_Tbr1_S1,ENSMUSG00000037940,Inpp4b,0.6097535436575683
RGC,17_Tbr1_S1,ENSMUSG00000021647,Cartpt,0.5961418916596127
RGC,17_Tbr1_S1,ENSMUSG00000059857,Ntng1,0.5595477483172058
RGC,17_Tbr1_S1,ENSMUSG00000032036,Kirrel3,0.5475691212952901
RGC,17_Tbr1_S1,ENSMUSG00000078591,Hs3st4,0.5330258083125159
RGC,17_Tbr1_S1,ENSMUSG00000070695,Cntnap5a,0.5258343295119915
RGC,17_Tbr1_S1,ENSMUSG00000075334,Rprm,0.5176567219686566
RGC,17_Tbr1_S1,ENSMUSG00000057060,Slc35f3,0.4849414672405459
RGC,17_Tbr1_S1,ENSMUSG00000069372,Ctxn3,0.46750211921504325
RGC,17_Tbr1_S1,ENSMUSG00000050447,Lypd6,0.45702914821391366
RGC,17_Tbr1_S1,ENSMUSG00000060924,Csmd1,0.44401307337176804
RGC,17_Tbr1_S1,ENSMUSG00000027533,Fabp5,0.40375394918331226
RGC,17_Tbr1_S1,ENSMUSG00000060534,Dcc,0.3923975205710415
RGC,17_Tbr1_S1,ENSMUSG00000038530,Rgs4,0.39146527380300333
RGC,17_Tbr1_S1,ENSMUSG00000021680,Crhbp,0.3877231841478367
RGC,17_Tbr1_S1,ENSMUSG00000029088,Kcnip4,-0.5447343139548205
RGC,17_Tbr1_S1,ENSMUSG00000049252,Lrp1b,-0.5293861805638679
RGC,17_Tbr1_S1,ENSMUSG00000060882,Kcnd2,-0.48140418392594425
RGC,17_Tbr1_S1,ENSMUSG00000019888,Mgat4c,-0.47391770477991474
RGC,17_Tbr1_S1,ENSMUSG00000029108,Pcdh7,-0.47333974573801857
RGC,17_Tbr1_S1,ENSMUSG00000055026,Gabrg3,-0.4630550254995798
RGC,17_Tbr1_S1,ENSMUSG00000092341,Malat1,-0.4403632184602677
RGC,17_Tbr1_S1,ENSMUSG00000032564,Cpne4,-0.4298289353668517
RGC,17_Tbr1_S1,ENSMUSG00000096914,Galntl6,-0.4210020397519135
RGC,17_Tbr1_S1,ENSMUSG00000064293,Cntn4,-0.39587186381412254
RGC,17_Tbr1_S1,ENSMUSG00000039539,Sgcz,-0.348482798677692
RGC,17_Tbr1_S1,ENSMUSG00000055471,Alk,-0.3366464551385709
RGC,17_Tbr1_S1,ENSMUSG00000029673,Auts2,-0.33540394706990884
RGC,17_Tbr1_S1,ENSMUSG00000039607,Rbms3,-0.33455141197555743
RGC,17_Tbr1_S1,ENSMUSG00000005716,Pvalb,-0.311953512112763
RGC,17_Tbr1_S1,ENSMUSG00000052581,Lrrtm4,-0.30445684733972744
RGC,17_Tbr1_S1,ENSMUSG00000058571,Gpc6,-0.2919394436715183
RGC,17_Tbr1_S1,ENSMUSG00000006586,Runx1t1,-0.2875667318705843
RGC,17_Tbr1_S1,ENSMUSG00000092094,Zfp804b,-0.28414452083192765
RGC,17_Tbr1_S1,ENSMUSG00000052572,Dlg2,-0.28171163595499765
RGC,18_Novel,ENSMUSG00000040420,Cdh18,0.9153238619724199
RGC,18_Novel,ENSMUSG00000059003,Grin2a,0.779217633321387
RGC,18_Novel,ENSMUSG00000052581,Lrrtm4,0.7475127932837351
RGC,18_Novel,ENSMUSG00000055421,Pcdh9,0.6732620508621715
RGC,18_Novel,ENSMUSG00000009734,Pou6f2,0.5415651166335214
RGC,18_Novel,ENSMUSG00000050447,Lypd6,0.45734458556739976
RGC,18_Novel,ENSMUSG00000038156,Spon1,0.43777581936426174
RGC,18_Novel,ENSMUSG00000034488,Edil3,0.42598949063900887
RGC,18_Novel,ENSMUSG00000037161,Mgarp,0.4160641277469149
RGC,18_Novel,ENSMUSG00000022894,Adamts5,0.4033645864432221
RGC,18_Novel,ENSMUSG00000021219,Rgs6,0.36099836077028563
RGC,18_Novel,ENSMUSG00000056222,Spock1,0.3587793361918309
RGC,18_Novel,ENSMUSG00000039419,Cntnap2,0.3462804127375914
RGC,18_Novel,ENSMUSG00000037428,Vgf,0.3446528060607823
RGC,18_Novel,ENSMUSG00000048482,Bdnf,0.33522236330944566
RGC,18_Novel,ENSMUSG00000027523,Gnas,0.32622617838345397
RGC,18_Novel,ENSMUSG00000036617,Etl4,0.31875100272490786
RGC,18_Novel,ENSMUSG00000029212,Gabrb1,0.31495498204256145
RGC,18_Novel,ENSMUSG00000060924,Csmd1,0.3053604473262502
RGC,18_Novel,ENSMUSG00000052372,Il1rapl1,0.3006009856152317
RGC,18_Novel,ENSMUSG00000090223,Pcp4,-0.7427641423113233
RGC,18_Novel,ENSMUSG00000043531,Sorcs1,-0.7165275965647989
RGC,18_Novel,ENSMUSG00000003657,Calb2,-0.5400419922869641
RGC,18_Novel,ENSMUSG00000021647,Cartpt,-0.44911155353163046
RGC,18_Novel,ENSMUSG00000056755,Grm7,-0.44887356828687514
RGC,18_Novel,ENSMUSG00000029245,Epha5,-0.44185054339189234
RGC,18_Novel,ENSMUSG00000053819,Camk2d,-0.41532399679849785
RGC,18_Novel,ENSMUSG00000027777,Schip1,-0.4137814600608316
RGC,18_Novel,ENSMUSG00000040037,Negr1,-0.40769909638540286
RGC,18_Novel,ENSMUSG00000036469,Marchf1,-0.4010402120776359
RGC,18_Novel,ENSMUSG00000029108,Pcdh7,-0.39416146669376945
